"Browser","Users","Org"
"Apache-HttpClient 4.2.6","1","1"
"Android HttpURLConnection ","1","1"
"unknown ","3","2"
"unknown ","2","1"
"unknown ","1","1"
"Microsoft Office Existence Discovery ","3","3"
"unknown ","1","1"
"IE 6.0","1","1"
"IE 7.0","36","14"
"IE 7.0","33","5"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","3","1"
"IE 7.0","12","2"
"IE 7.0","9","3"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","13","2"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","3","3"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","3","1"
"IE 7.0","3","1"
"IE 7.0","3","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","3","1"
"IE 7.0","6","1"
"IE 7.0","140","2"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","4","1"
"IE 7.0","10","1"
"IE 7.0","424","2"
"IE 7.0","118","2"
"IE 7.0","2","1"
"IE 7.0","1","1"
"IE 7.0","2","2"
"IE 7.0","2","2"
"IE 7.0","11","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","5","1"
"IE 7.0","1","1"
"IE 7.0","16","7"
"IE 7.0","6","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","4","3"
"IE 7.0","2","1"
"IE 7.0","1","1"
"IE 7.0","4","3"
"IE 7.0","7","1"
"IE 7.0","1","1"
"IE 7.0","17","1"
"IE 7.0","1","1"
"IE 7.0","8","1"
"IE 7.0","2","1"
"IE 7.0","1","1"
"IE 7.0","4","2"
"IE 7.0","1","1"
"IE 7.0","4","1"
"IE 7.0","3","1"
"IE 7.0","3","3"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","2","2"
"IE 7.0","1","1"
"IE 7.0","2","1"
"IE 7.0","2","2"
"IE 7.0","4","2"
"IE 7.0","1","1"
"IE 7.0","6","1"
"IE 7.0","4","2"
"IE 7.0","1","1"
"IE 7.0","2","1"
"IE 7.0","2","1"
"IE 7.0","1","1"
"IE 7.0","5","3"
"IE 7.0","1","1"
"IE 7.0","8","1"
"IE 7.0","2","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","2","1"
"IE 7.0","1","1"
"IE 7.0","2","2"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","3","2"
"IE 7.0","3","1"
"IE 7.0","1","1"
"IE 7.0","87","8"
"IE 7.0","5","5"
"IE 7.0","2","1"
"IE 7.0","2","1"
"IE 7.0","1","1"
"IE 7.0","10","3"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","2","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","6","2"
"IE 7.0","1","1"
"IE 7.0","2","1"
"IE 7.0","17","2"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","3","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","2","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","2","1"
"IE 7.0","4","2"
"IE 7.0","1","1"
"IE 7.0","11","2"
"IE 7.0","6","1"
"IE 7.0","1","1"
"IE 7.0","221","20"
"IE 7.0","3","3"
"IE 7.0","2","1"
"IE 7.0","3","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","3","2"
"IE 7.0","3","1"
"IE 7.0","10","7"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","5","2"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","1","1"
"IE 7.0","2","2"
"IE 7.0","1","1"
"IE 7.0","1","1"
